epoch,loss,val_loss
0,4.860655954,4.543063103
1,4.2621296182,4.402347202
2,4.038474446,4.3352146287
3,3.8793236706,4.3137619293
4,3.7488412341,4.3044340666
5,3.6360951682,4.3001305265
6,3.5365829793,4.3125136966
7,3.4452187693,4.3178433267
8,3.3579835002,4.3403936427
9,3.2748853376,4.3553148743
10,3.1935200525,4.3768985851
11,3.1143827564,4.4198356476
12,3.0347789514,4.4378718152
13,2.9555555222,4.4822215859
14,2.8757754484,4.5110352822
15,2.7958990953,4.563217176
16,2.7152863216,4.6047280304
17,2.6348697853,4.6671937884
18,2.5540358972,4.7044689536
19,2.4738990825,4.775884585
20,2.3945866065,4.8084081637
21,2.3156536731,4.9053586293
22,2.2391688627,4.9619557406
23,2.1625949778,5.0182968327
24,2.0908354487,5.1111286948
25,2.0178296705,5.1671260499
26,1.9488940611,5.2384504038
27,1.8815478386,5.3072670307
28,1.8162029913,5.387836854
29,1.752302788,5.4685613327
30,1.6913870864,5.5090953006
31,1.6321604951,5.5778959561
32,1.5774881895,5.6754395566
33,1.5228198593,5.7221111055
34,1.4706181653,5.7826531513
35,1.4204989743,5.8693259747
36,1.3698633751,5.932910192
37,1.3224301709,5.9743137028
38,1.2779085706,6.0632594396
39,1.2345978863,6.1128244345
40,1.192742558,6.1770953469
41,1.1516304043,6.2454819919
42,1.1126064547,6.2992897696
43,1.0772495725,6.3340097689
44,1.0419094339,6.4178065094
45,1.0048134569,6.4595627177
46,0.9717054347,6.504099566
47,0.943056557,6.6101650418
48,0.9082463206,6.6284343561
49,0.8818129429,6.6982984709
