epoch,loss,val_loss
0,5.791393138266899,5.151116847991943
1,5.08327765078158,4.769808769226074
2,4.780520002814334,4.665197849273682
3,4.604919709754267,4.584076404571533
4,4.475507789597088,4.528095722198486
5,4.3699171285371525,4.49922513961792
6,4.269650839470528,4.473650932312012
7,4.174097068521507,4.492043495178223
8,4.096573542443942,4.441812515258789
9,4.016744721350062,4.428352355957031
10,3.9295455921570768,4.441919803619385
11,3.8516130972092677,4.465120315551758
12,3.788565745224824,4.445472240447998
13,3.7300802473856214,4.426732540130615
14,3.656201390225915,4.421716213226318
15,3.5865510172825523,4.4471282958984375
16,3.516217499626189,4.413087368011475
17,3.4514139886068103,4.4508585929870605
18,3.3860677945567836,4.486466407775879
19,3.3204410158989512,4.386473655700684
20,3.251748583031437,4.432894706726074
21,3.1875900596265168,4.442453861236572
22,3.1182074546813965,4.453100204467773
23,3.0482384633833837,4.491838455200195
24,2.984537664067331,4.45398473739624
25,2.904511071540214,4.5199503898620605
26,2.843950927947939,4.533648490905762
27,2.772477729900463,4.585704326629639
28,2.6999385522599386,4.594451904296875
29,2.627611441962047,4.566010475158691
30,2.5512075368962233,4.562728404998779
31,2.478518041404518,4.630892276763916
32,2.418366775549517,4.6623077392578125
33,2.3377445370073944,4.741946697235107
34,2.2754684000862153,4.708269119262695
35,2.2065590928420136,4.75661039352417
36,2.1299508598320274,4.752466678619385
37,2.071137615612575,4.8344902992248535
38,2.0046657761091433,4.8622822761535645
39,1.9341149044773294,4.912158489227295
40,1.8583706875105162,4.89735221862793
41,1.8104603460856847,5.069758892059326
42,1.736670379933243,4.998751640319824
43,1.6883590511373572,5.009385108947754
44,1.6226283210585015,5.137911796569824
45,1.5698663976661946,5.1698832511901855
46,1.5254373136174264,5.35813570022583
47,1.4746686427289455,5.3486857414245605
48,1.4146909492816704,5.391591548919678
49,1.3495541806386704,5.437417984008789
